Quantifier,PI in the premise,Direction,Content,Monot,Premise,Consequent
Few,None,Increasing,6,DE,Few aliens used quarters.,Few aliens used coins.
Negative,Negative,Decreasing,7,DE,The red alien did not buy any clothes.,The red alien did not buy shirts.
No,Negative,Decreasing,7,DE,No alien bought any clothes.,No alien bought shirts.
Few,None,Decreasing,7,DE,Few aliens bought clothes.,Few aliens bought shirts.
Negative,Negative,Increasing,7,DE,The red alien did not buy any shirts.,The red alien did not buy clothes.
No,Negative,Increasing,7,DE,No alien bought any shirts.,No alien bought clothes.
Few,None,Increasing,7,DE,Few aliens bought shirts.,Few aliens bought clothes.
Negative,Negative,Decreasing,8,DE,The red alien did not throw any balls.,The red alien did not throw tennis balls.
No,Negative,Decreasing,8,DE,No alien threw any balls.,No alien threw tennis balls.
Few,None,Decreasing,8,DE,Few aliens threw balls.,Few aliens threw tennis balls.
Negative,Negative,Increasing,8,DE,The red alien did not throw any tennis balls.,The red alien did not throw balls.
No,Negative,Increasing,8,DE,No alien threw any tennis balls.,No alien threw balls.
Few,None,Increasing,8,DE,Few aliens threw tennis balls.,Few aliens threw balls.
Negative,Negative,Decreasing,9,DE,The red alien did not drink any soda.,The red alien did not drink coke.
No,Negative,Decreasing,9,DE,No alien drank any soda.,No alien drank coke.
Few,None,Decreasing,9,DE,Few aliens drank soda.,Few aliens drank coke.
Negative,Negative,Increasing,9,DE,The red alien did not drink any coke.,The red alien did not drink soda.
No,Negative,Increasing,9,DE,No alien drank any coke.,No alien drank soda.
Few,None,Increasing,9,DE,Few aliens drank coke.,Few aliens drank soda.
Negative,Negative,Decreasing,10,DE,The red alien did not read any magazines.,The red alien did not read news magazines.
No,Negative,Decreasing,10,DE,No alien read any magazines.,No alien read news magazines.
Few,None,Decreasing,10,DE,Few aliens read magazines.,Few aliens read news magazines.
Negative,Negative,Increasing,10,DE,The red alien did not read any news magazines.,The red alien did not read magazines.
No,Negative,Increasing,10,DE,No alien read any news magazines.,No alien read magazines.
Few,None,Increasing,10,DE,Few aliens read news magazines.,Few aliens read magazines.
Exactly 12,None,Decreasing,1,NM,Exactly 12 aliens ate meat.,Exactly 12 aliens ate pork.
Only 12,Positive,Decreasing,1,NM,Only 12 aliens ate some meat.,Only 12 aliens ate pork.
Exactly 12,None,Increasing,1,NM,Exactly 12 aliens ate pork.,Exactly 12 aliens ate meat.
Only 12,Positive,Increasing,1,NM,Only 12 aliens ate some pork.,Only 12 aliens ate meat.
Exactly 12,None,Decreasing,2,NM,Exactly 12 aliens watched sports matches.,Exactly 12 aliens watched baseball matches.
Only 12,Positive,Decreasing,2,NM,Only 12 aliens watched some sports matches.,Only 12 aliens watched baseball matches.
Exactly 12,None,Increasing,2,NM,Exactly 12 aliens watched baseball matches.,Exactly 12 aliens watched sports matches.
Only 12,Positive,Increasing,2,NM,Only 12 aliens watched some baseball matches.,Only 12 aliens watched sports matches.
Exactly 12,None,Decreasing,3,NM,Exactly 12 aliens saw birds.,Exactly 12 aliens saw doves.
Only 12,Positive,Decreasing,3,NM,Only 12 aliens saw some birds.,Only 12 aliens saw doves.
Exactly 12,None,Increasing,3,NM,Exactly 12 aliens saw doves.,Exactly 12 aliens saw birds.
Only 12,Positive,Increasing,3,NM,Only 12 aliens saw some doves.,Only 12 aliens saw birds.
Exactly 12,None,Decreasing,4,NM,Exactly 12 aliens ate at restaurants.,Exactly 12 aliens ate at Mexican restaurants.
Only 12,Positive,Decreasing,4,NM,Only 12 aliens ate at some restaurants.,Only 12 aliens ate at Mexican restaurants.
Exactly 12,None,Increasing,4,NM,Exactly 12 aliens ate at Mexican restaurants.,Exactly 12 aliens ate at restaurants.
Only 12,Positive,Increasing,4,NM,Only 12 aliens ate at some Mexican restaurants.,Only 12 aliens ate at restaurants.
Exactly 12,None,Decreasing,5,NM,Exactly 12 aliens played with toys.,Exactly 12 aliens played with toy cars.
Only 12,Positive,Decreasing,5,NM,Only 12 aliens played with some toys.,Only 12 aliens played with toy cars.
Exactly 12,None,Increasing,5,NM,Exactly 12 aliens played with toy cars.,Exactly 12 aliens played with toys.
Only 12,Positive,Increasing,5,NM,Only 12 aliens played with some toy cars.,Only 12 aliens played with toys.
Exactly 12,None,Decreasing,6,NM,Exactly 12 aliens used coins.,Exactly 12 aliens used quarters.
Only 12,Positive,Decreasing,6,NM,Only 12 aliens used some coins.,Only 12 aliens used quarters.
Exactly 12,None,Increasing,6,NM,Exactly 12 aliens used quarters.,Exactly 12 aliens used coins.
Only 12,Positive,Increasing,6,NM,Only 12 aliens used some quarters.,Only 12 aliens used coins.
Exactly 12,None,Decreasing,7,NM,Exactly 12 aliens bought clothes.,Exactly 12 aliens bought shirts.
Only 12,Positive,Decreasing,7,NM,Only 12 aliens bought some clothes.,Only 12 aliens bought shirts.
Exactly 12,None,Increasing,7,NM,Exactly 12 aliens bought shirts.,Exactly 12 aliens bought clothes.
Only 12,Positive,Increasing,7,NM,Only 12 aliens bought some shirts.,Only 12 aliens bought clothes.
Exactly 12,None,Decreasing,8,NM,Exactly 12 aliens threw balls.,Exactly 12 aliens threw tennis balls.
Only 12,Positive,Decreasing,8,NM,Only 12 aliens threw some balls.,Only 12 aliens threw tennis balls.
Exactly 12,None,Increasing,8,NM,Exactly 12 aliens threw tennis balls.,Exactly 12 aliens threw balls.
Only 12,Positive,Increasing,8,NM,Only 12 aliens threw some tennis balls.,Only 12 aliens threw balls.
Exactly 12,None,Decreasing,9,NM,Exactly 12 aliens drank soda.,Exactly 12 aliens drank coke.
Only 12,Positive,Decreasing,9,NM,Only 12 aliens drank some soda.,Only 12 aliens drank coke.
Exactly 12,None,Increasing,9,NM,Exactly 12 aliens drank coke.,Exactly 12 aliens drank soda.
Only 12,Positive,Increasing,9,NM,Only 12 aliens drank some coke.,Only 12 aliens drank soda.
Exactly 12,None,Decreasing,10,NM,Exactly 12 aliens read magazines.,Exactly 12 aliens read news magazines.
Only 12,Positive,Decreasing,10,NM,Only 12 aliens read some magazines.,Only 12 aliens read news magazines.
Exactly 12,None,Increasing,10,NM,Exactly 12 aliens read news magazines.,Exactly 12 aliens read magazines.
Only 12,Positive,Increasing,10,NM,Only 12 aliens read some news magazines.,Only 12 aliens read magazines.
Positive,Positive,Decreasing,1,UE,The red alien ate some meat.,The red alien ate pork.
Every,Positive,Decreasing,1,UE,Every alien ate some meat.,Every alien ate pork.
Many,None,Decreasing,1,UE,Many aliens ate meat.,Many aliens ate pork.
Positive,Positive,Increasing,1,UE,The red alien ate some pork.,The red alien ate meat.
Every,Positive,Increasing,1,UE,Every alien ate some pork.,Every alien ate meat.
Many,None,Increasing,1,UE,Many aliens ate pork.,Many aliens ate meat.
Positive,Positive,Decreasing,2,UE,The red alien watched some sports matches.,The red alien watched baseball matches.
Every,Positive,Decreasing,2,UE,Every alien watched some sports matches.,Every alien watched baseball matches.
Many,None,Decreasing,2,UE,Many aliens watched sports matches.,Many aliens watched baseball matches.
Positive,Positive,Increasing,2,UE,The red alien watched some baseball matches.,The red alien watched sports matches.
Every,Positive,Increasing,2,UE,Every alien watched some baseball matches.,Every alien watched sports matches.
Many,None,Increasing,2,UE,Many aliens watched baseball matches.,Many aliens watched sports matches.
Positive,Positive,Decreasing,3,UE,The red alien saw some birds.,The red alien saw doves.
Every,Positive,Decreasing,3,UE,Every alien saw some birds.,Every alien saw doves.
Many,None,Decreasing,3,UE,Many aliens saw birds.,Many aliens saw doves.
Positive,Positive,Increasing,3,UE,The red alien saw some doves.,The red alien saw birds.
Every,Positive,Increasing,3,UE,Every alien saw some doves.,Every alien saw birds.
Many,None,Increasing,3,UE,Many aliens saw doves.,Many aliens saw birds.
Positive,Positive,Decreasing,4,UE,The red alien ate at some restaurants.,The red alien ate at Mexican restaurants.
Every,Positive,Decreasing,4,UE,Every alien ate at some restaurants.,Every alien ate at Mexican restaurants.
Many,None,Decreasing,4,UE,Many aliens ate at restaurants.,Many aliens ate at Mexican restaurants.
Positive,Positive,Increasing,4,UE,The red alien ate at some Mexican restaurants.,The red alien ate at restaurants.
Every,Positive,Increasing,4,UE,Every alien ate at some Mexican restaurants.,Every alien ate at restaurants.
Many,None,Increasing,4,UE,Many aliens ate at Mexican restaurants.,Many aliens ate at restaurants.
Positive,Positive,Decreasing,5,UE,The red alien played with some toys.,The red alien played with toy cars.
Every,Positive,Decreasing,5,UE,Every alien played with some toys.,Every alien played with toy cars.
Many,None,Decreasing,5,UE,Many aliens played with toys.,Many aliens played with toy cars.
Positive,Positive,Increasing,5,UE,The red alien played with some toy cars.,The red alien played with toys.
Every,Positive,Increasing,5,UE,Every alien played with some toy cars.,Every alien played with toys.
Many,None,Increasing,5,UE,Many aliens played with toy cars.,Many aliens played with toys.
Positive,Positive,Decreasing,6,UE,The red alien used some coins.,The red alien used quarters.
Every,Positive,Decreasing,6,UE,Every alien used some coins.,Every alien used quarters.
Many,None,Decreasing,6,UE,Many aliens used coins.,Many aliens used quarters.
Positive,Positive,Increasing,6,UE,The red alien used some quarters.,The red alien used coins.
Every,Positive,Increasing,6,UE,Every alien used some quarters.,Every alien used coins.
Many,None,Increasing,6,UE,Many aliens used quarters.,Many aliens used coins.
Positive,Positive,Decreasing,7,UE,The red alien bought some clothes.,The red alien bought shirts.
Every,Positive,Decreasing,7,UE,Every alien bought some clothes.,Every alien bought shirts.
Many,None,Decreasing,7,UE,Many aliens bought clothes.,Many aliens bought shirts.
Positive,Positive,Increasing,7,UE,The red alien bought some shirts.,The red alien bought clothes.
Every,Positive,Increasing,7,UE,Every alien bought some shirts.,Every alien bought clothes.
Many,None,Increasing,7,UE,Many aliens bought shirts.,Many aliens bought clothes.
Positive,Positive,Decreasing,8,UE,The red alien threw some balls.,The red alien threw tennis balls.
Every,Positive,Decreasing,8,UE,Every alien threw some balls.,Every alien threw tennis balls.
Many,None,Decreasing,8,UE,Many aliens threw balls.,Many aliens threw tennis balls.
Positive,Positive,Increasing,8,UE,The red alien threw some tennis balls.,The red alien threw balls.
Every,Positive,Increasing,8,UE,Every alien threw some tennis balls.,Every alien threw balls.
Many,None,Increasing,8,UE,Many aliens threw tennis balls.,Many aliens threw balls.
Positive,Positive,Decreasing,9,UE,The red alien drank some soda.,The red alien drank coke.
Every,Positive,Decreasing,9,UE,Every alien drank some soda.,Every alien drank coke.
Many,None,Decreasing,9,UE,Many aliens drank soda.,Many aliens drank coke.
Positive,Positive,Increasing,9,UE,The red alien drank some coke.,The red alien drank soda.
Every,Positive,Increasing,9,UE,Every alien drank some coke.,Every alien drank soda.
Many,None,Increasing,9,UE,Many aliens drank coke.,Many aliens drank soda.
Positive,Positive,Decreasing,10,UE,The red alien read some magazines.,The red alien read news magazines.
Every,Positive,Decreasing,10,UE,Every alien read some magazines.,Every alien read news magazines.
Many,None,Decreasing,10,UE,Many aliens read magazines.,Many aliens read news magazines.
Positive,Positive,Increasing,10,UE,The red alien read some news magazines.,The red alien read magazines.
Every,Positive,Increasing,10,UE,Every alien read some news magazines.,Every alien read magazines.
Many,None,Increasing,10,UE,Many aliens read news magazines.,Many aliens read magazines.
